id,Lect_Name,Lect_Email,UserID (FK)
1,Mohamed Wan Aman bin Borhan ,aman@xuni.com,XU210001
2,Thayaparan Sathianathan,s.thayaparan@xuni.com,XU210002
3,Marimuthu A/L Govindasamy,g.marimuthu@xuni.com,XU210003
4,Thanuja A/P Marimuthu,m.thanuja@xuni.com,XU210004
5,Frankie Qu Yutt Moong,frankie@xuni.com,XU210005
6,Zulkipli bin Huzaimi Wasil,zulkipli@xuni.com,XU210006
7,Mohd Haji Wan Zulhakimi bin Syed Aizad,zulhakimi@xuni.com,XU210007
8,Che Nur bin Zulhakim,chenur@xuni.com,XU210008
9,Yap Nin Bang,nbyap@xuni.com,XU210009
10,Aziah binti Wan Pisol,aziah@xuni.com,XU210010
11,Roslin bin Anuwar,roslin@xuni.com,XU210011
12,Syed Zarith Zamran bin Syed Syazwan,syedzarith@xuni.com,XU210012
13,Phyllis Zheng Khian Mee,phyllis@xuni.com,XU210013
14,Chua Ley Lok,llchua@xuni.com,XU210014
15,Seah Jett Ngo,njseah@xuni.com,XU210015
16,Noor Ahda Azrin binti Sukri,ahdaazrin@xuni.com,XU210016
17,Chai Aik Thai,atchai@xuni.com,XU210017
18,Mohamed Nik Halidan Safrifarizal,nikhalidan@xuni.com,XU210018
19,Ani Senon binti Che Sharif,anisenon@xuni.com,XU210019
20,Nina binti Hammani,nina@xuni.com,XU210020
